Stock Code,Stock name, Price, Compared to the previous day,,fluctuation rate,Volume,sell price,buying price,open price, high price, low price
'051600,한전KPS,31800,▲,250,0.79,162888,31800,31750,31550,32500,31400
'051630,진양화학,3970,▼,-65,-1.61,29278,3990,3970,4030,4080,3910
'051900,LG생활건강,522000,▼,-20000,-3.69,132579,522000,521000,541000,543000,516000
'051905,LG생활건강우,283500,▼,-5000,-1.73,5245,283500,283000,291000,291000,279000
'051910,LG화학,562000,▲,10000,1.81,377920,562000,561000,557000,571000,555000
'051915,LG화학우,271500,▲,3000,1.12,6761,271500,271000,271000,271500,268500
'052690,한전기술,51300,▲,2200,4.48,463822,51400,51300,49900,52500,49300
'053210,스카이라이프,8060,▼,-20,-0.25,62224,8070,8060,8080,8220,8060
'053690,한미글로벌,32350,▲,1400,4.52,8372277,32350,32300,31000,34050,30800
'055490,테이팩스,59300,▼,-1100,-1.82,50538,59400,59300,61400,61400,59200
'055550,신한지주,35250,▼,-650,-1.81,1582430,35250,35200,35800,36200,35000
'057050,현대홈쇼핑,44450,▼,-250,-0.56,10440,44550,44450,44700,44850,44300
'058430,포스코스틸리온,26650,▼,-350,-1.3,13779,26800,26650,27050,27550,26600
'058650,세아홀딩스,99800,▲,2700,2.78,167,99800,99300,97300,99900,96200
'058730,다스코,5140,▲,70,1.38,409684,5150,5140,5130,5290,5050
'058850,KTcs,2145,▼,-10,-0.46,26631,2145,2140,2155,2160,2125
'058860,KTis,2415,▼,-10,-0.41,26265,2425,2415,2425,2435,2410
'060980,HL홀딩스,29650,▼,-250,-0.84,14038,29700,29650,29850,29950,29550
'063160,종근당바이오,21600,▲,150,0.7,6973,21600,21550,21250,21700,21050
'064350,현대로템,23200,▼,-450,-1.9,1396948,23200,23150,23800,24050,23150
'064960,SNT모티브,40550,▲,400,1,11806,40550,40500,40400,40750,40000
'066570,LG전자,77800,▼,-2300,-2.87,1247943,77900,77800,80100,80200,77300
'066575,LG전자우,38100,▼,-1300,-3.3,33517,38150,38100,39400,39500,37200
'067830,세이브존I&C,2560,▲,40,1.59,10066,2560,2540,2540,2560,2515
'068270,셀트리온,185500,▲,1000,0.54,379277,185500,185000,184500,187000,182500
'068290,삼성출판사,24950,▲,300,1.22,123308,24950,24900,24650,25750,24650
'068400,SK렌터카,6470,▼,-30,-0.46,12919,6480,6470,6500,6580,6470
'069260,TKG휴켐스,20600,▼,-350,-1.67,59870,20650,20600,20850,21000,20600
'069460,대호에이엘,1340,▼,-60,-4.29,647002,1345,1340,1405,1405,1335
'069500,KODEX 200,29500,▲,200,0.68,3811327,29505,29500,29290,29655,29245
'069620,대웅제약,163500,▼,-500,-0.3,27750,164000,163500,163000,167000,161500
'069640,한세엠케이,3095,▲,315,11.33,118037,3095,3085,2780,3300,2780
'069660,KOSEF 200,29525,▲,185,0.63,334571,29525,29505,29325,29665,29300
'069730,DSR제강,4300,▼,-15,-0.35,26059,4335,4300,4400,4400,4300
'069960,현대백화점,54500,▲,100,0.18,36562,54500,54400,54500,54900,53800
'070960,용평리조트,3055,▲,10,0.33,2045948,3055,3040,3070,3070,3000
'071050,한국금융지주,46800,▼,-400,-0.85,213678,46850,46800,47500,47550,46450
'071055,한국금융지주우,41400,▼,-50,-0.12,7489,41400,41350,41850,41850,41300
'071090,하이스틸,3570,▼,-60,-1.65,169477,3570,3565,3660,3660,3565
'071320,지역난방공사,26300, ,0,0,1861,26300,26250,26200,26850,26050
'071840,롯데하이마트,12400,▲,150,1.22,33443,12450,12400,12250,12650,12250
'071950,코아스,807,▲,2,0.25,18377,807,805,805,812,797
'071970,STX중공업,3585,▼,-95,-2.58,45732,3585,3580,3740,3740,3490
'072130,유엔젤,2865,▼,-10,-0.35,37256,2865,2860,2885,2885,2835
'072710,농심홀딩스,60600,▼,-700,-1.14,1960,60700,60600,61300,61300,60000
'073240,금호타이어,2935,▼,-90,-2.98,471367,2945,2935,3025,3035,2935
'074610,이엔플러스,4650,▼,-370,-7.37,6115670,4655,4650,4940,5060,4530
'075180,새론오토모티브,4690,▲,90,1.96,12358,4720,4690,4590,4705,4550
'075580,세진중공업,5330,▲,10,0.19,254105,5330,5320,5320,5410,5220
'077500,유니퀘스트,8260,▼,-200,-2.36,34785,8310,8260,8460,8500,8240
'077970,STX엔진,11950,▼,-250,-2.05,58566,11950,11900,12250,12300,11850
'078000,텔코웨어,8630,▲,30,0.35,4342,8630,8620,8660,8660,8520
'078520,에이블씨엔씨,4275,▲,5,0.12,25329,4285,4275,4350,4350,4255
'078930,GS,44700,▼,-1000,-2.19,152594,44700,44650,45300,45650,44200
'078935,GS우,34500,▼,-450,-1.29,3045,34700,34500,35000,35050,34500
'079160,CJ CGV,13150,▼,-100,-0.75,115300,13200,13150,13450,13500,13050
'079430,현대리바트,8280,▼,-130,-1.55,25131,8290,8280,8340,8380,8210
'079550,LIG넥스원,91200,▲,300,0.33,117247,91300,91200,91000,93000,90400
'079980,휴비스,4800,▼,-10,-0.21,35460,4805,4800,4815,4885,4755
'081000,일진다이아,15100,▼,-100,-0.66,10861,15100,15000,15250,15300,14900
'081660,휠라홀딩스,30900,▼,-500,-1.59,302456,30950,30900,31050,31650,30400
'082640,동양생명,4990,▼,-5,-0.1,53682,5000,4990,5020,5050,4980
'082740,HSD엔진,6200,▼,-160,-2.52,425667,6210,6200,6380,6390,6170
'083420,그린케미칼,9750,▼,-400,-3.94,1084080,9750,9740,10250,10250,9710
'084010,대한제강,12100,▼,-300,-2.42,30537,12200,12100,12400,12450,12050
'084670,동양고속,13150,▲,150,1.15,253,13150,13050,13200,13200,13000
'084680,이월드,1600,▼,-30,-1.84,194240,1605,1600,1640,1640,1595
'084690,대상홀딩스,6950,▲,50,0.72,17198,6950,6940,6990,6990,6900
'084695,대상홀딩스우,9540,▼,-90,-0.93,7338,9540,9450,9490,9690,9410
'084870,TBH글로벌,1670,▲,20,1.21,42146,1695,1670,1655,1750,1655
'085310,엔케이,892, ,0,0,105410,892,887,892,899,886
'085620,미래에셋생명,2655,▼,-30,-1.12,52022,2655,2645,2685,2695,2640
'086280,현대글로비스,160500,▼,-2500,-1.53,85176,161000,160500,164000,164500,159500
'086790,하나금융지주,39200,▲,1050,2.75,2210684,39200,39150,38200,39550,38000
